epoch,learning_rate,train_loss,train_mae,train_relative_l2,train_rmse,val_loss,val_mae,val_relative_l2,val_rmse
1,0.001,768631478681.6244,296077.7853085804,1.0013701820373535,859002.9710147381,738516250939.133,284656.45544411585,1.0001074625895574,825655.7575643796
2,0.001,768432202055.7186,296069.29350272176,0.9992085552215576,858891.6690846443,738516190444.3645,284656.4581129643,0.9984303621145395,825655.7194978228
3,0.001,768648989900.8257,296078.1161438942,0.997646918296814,859012.7967448282,738516089619.7507,284656.44346142735,0.9967835316291223,825655.662757062
4,0.001,768583836631.0674,296075.40243357775,0.9963732671737671,858976.4027849818,738515928300.3717,284656.43320265185,0.9956613595669086,825655.5697137805
5,0.001,768608577781.8165,296073.09379033087,0.996991868019104,858990.1823827171,738515504837.0187,284656.4555065815,1.0035516298734224,825655.3545167721
6,0.001,768746659512.5145,296080.76961629867,1.022788519859314,859067.4129940319,738514335271.703,284656.4375913602,1.0800426006317139,825654.7714314827
7,0.001,768605867213.5948,296077.04412281036,1.1463926124572754,858988.8630981254,738511391194.1023,284656.10263131215,1.3954094373262846,825653.2992912806
8,0.001,768458599959.8132,296069.6822451401,1.7097184753417969,858906.76484375,738504656116.1163,284654.87291306717,2.2636533883901744,825649.9668769103
9,0.001,768429077315.8165,296057.74030685425,3.085263481140137,858890.6699158478,738490278558.6028,284652.77046541066,4.216796288123498,825642.9173227457
10,0.001,768452497343.0736,296062.50084106444,4.868154544830322,858904.9388972473,738462551931.2515,284648.75497671275,8.148606006915752,825629.4176547711
11,0.001,768478329239.3148,296061.41529266356,10.178275947570802,858921.0174557496,738411978842.6238,284642.0274763841,15.499310126671425,825604.8302624042
12,0.001,768413113967.2987,296053.3429748535,17.91580909729004,858887.9909326172,738325452964.7179,284634.00510230433,28.478387979360726,825562.9631558931
13,0.001,768608524574.3572,296067.98848205566,29.555309143066406,859003.472845459,738184687065.2476,284632.5557239239,50.13455493633564,825495.0463749812
14,0.001,768328079155.8313,296058.0142333984,51.90923858642578,858854.5344384765,737965368102.8582,284636.5422574557,84.59931124173679,825389.6086942232
15,0.001,767976457806.94,296053.84427490237,85.98675231933593,858671.412458496,737628429942.0577,284644.4228633,137.6078608586238,825227.5602886493
16,0.001,767407192774.09,296056.4917150879,136.42561614990234,858372.7247119141,737136837636.9327,284656.2274592473,215.7732872596154,824991.4793607271
17,0.001,766710115630.75,296051.59595214843,231.03882263183593,858009.3450488282,736432451598.2307,284672.36299015925,327.9163818359375,824653.035569411
18,0.001,766220163551.4,296086.70219726564,311.8663317871094,857778.9661035156,735459540551.4615,284695.1141263522,484.12843205378607,824185.8982684796
19,0.001,764990851829.76,296099.85682617186,435.3271008300781,857148.0580273437,734144973892.1538,284726.3407076322,696.8124812199519,823554.8600510817
20,0.001,763629092854.4,296154.3365625,638.6457446289063,856455.32234375,732435680100.0,284770.37528170075,979.7498309795673,822736.6654897836
21,0.001,761591379606.72,296167.6378027344,850.2726684570313,855406.53015625,730200081843.0769,284826.8599571815,1351.1819598858174,821665.0070612981
22,0.001,759330109310.4,296250.8294921875,1420.4825244140625,854246.80359375,727372882675.6923,284902.0940880409,1829.1471041165864,820310.7370042067
23,0.001,755387921532.8,296163.1462109375,1621.428330078125,852187.5808203125,723725001303.3846,284989.91962139425,2439.395695612981,818553.1896784856
24,0.001,751142091804.16,296161.3746484375,2107.997470703125,849997.4965625,719128977245.5385,285092.6449819711,3210.4190955528848,816329.7052283654
25,0.001,746697171970.56,296378.3264453125,2708.0883984375,847725.34578125,713593487000.6154,285224.5411658654,4161.113844651442,813649.2503004808
26,0.001,740733738536.96,296486.36796875,3996.121298828125,844620.7615625,707037349612.3077,285389.642578125,5314.530874399038,810468.1811899039
27,0.001,734259698667.52,296829.2516015625,4323.14501953125,841310.265,699395841792.0,285597.6948617789,6696.972881610577,806751.2998798077
28,0.001,725128304005.12,296704.26921875,5472.97359375,836441.9959375,690511929895.3846,285842.88221153844,8336.527794471154,802405.4567307692
29,0.001,715518660935.68,296851.84953125,7178.21177734375,831350.3875,680240449890.4615,286120.94696514425,10256.016376201924,797335.1688701923
30,0.001,704943297822.72,297162.929296875,9124.6365234375,825663.555,668888415074.4615,286455.98798076925,12462.63506610577,791701.9302884615
31,0.001,692523075051.52,297304.178203125,11072.745234375,819009.41625,656411628780.3077,286840.28936298075,14967.45703125,785456.5865384615
32,0.001,679736905195.52,297694.9740625,11661.925546875,812190.1503125,643010228066.4615,287283.1538461539,17767.216947115383,778687.6015625
33,0.001,665831536394.24,298088.25390625,15301.5828515625,804387.68125,628770068952.6154,287773.21033653844,20847.243689903848,771408.1550480769
34,0.001,648950711828.48,297664.81296875,16018.93625,795041.791875,613800073846.1538,288298.78515625,24190.41346153846,763643.0396634615
35,0.001,636134475366.4,299034.0125,18958.012578125,787903.564375,598936456113.2307,288893.7481971154,27711.826021634617,755850.8016826923
36,0.001,618874039336.96,298735.76,20997.19703125,778055.83,583994333656.6154,289522.7451923077,31380.684795673078,747886.7824519231
37,0.001,604110154137.6,299373.875,23499.39953125,769508.559375,569510128088.6154,290205.2992788461,35110.12680288462,740048.8161057692
38,0.001,588438684794.88,299519.6528125,29295.40828125,760058.978125,555388085169.2307,290892.07872596156,38839.831730769234,732251.7247596154
39,0.001,577299342950.4,301225.0746875,28819.600625,753707.8675,542401142784.0,291654.3798076923,42465.846754807695,724979.5961538461
40,0.001,560990091345.92,300601.989375,31418.30484375,743559.7275,530162253824.0,292410.8257211539,45941.622596153844,717983.0793269231
41,0.001,547684388044.8,300857.54125,35127.6203125,735214.17125,518406917198.7692,293132.55889423075,49244.0078125,711093.7644230769
42,0.001,536987612282.88,301875.8075,35781.9590625,728662.3075,507617527020.3077,293883.1610576923,52309.72536057692,704644.09375
43,0.001,524261652561.92,301729.34,39359.33453125,720339.8975,497711839389.53845,294622.9711538461,55135.660456730766,698606.3581730769
44,0.001,512491973509.12,301692.4175,39821.13640625,712650.63625,488049203357.53845,295288.61057692306,57772.754206730766,692567.4567307692
45,0.001,501893506007.04,301852.45875,44987.64265625,705561.91,479118686995.6923,295950.36298076925,60201.42848557692,686883.9230769231
46,0.001,492656432906.24,302254.56,43345.170625,699550.97125,470602038035.6923,296568.0961538461,62461.185096153844,681355.4975961539
47,0.001,488633279447.04,304524.985,47813.17015625,696653.7025,463301536846.7692,297213.82932692306,64457.1953125,676560.0456730769
48,0.001,477880431411.2,303733.5975,45979.84171875,689402.59375,456554935847.38464,297861.51682692306,66357.32151442308,672077.1875
49,0.001,469242318028.8,303522.74125,49609.19578125,683205.41875,450339574705.2308,298465.5096153846,68134.18028846153,667894.0240384615
50,0.001,464318401085.44,304592.3325,49996.9515625,679926.6975,444579000635.0769,299031.22596153844,69817.04266826923,663972.5240384615
51,0.001,456940682608.64,304428.955,56848.27328125,674487.2925,439407619150.7692,299566.125,71353.05588942308,660413.4903846154
52,0.001,449285318246.4,303909.23625,51153.7984375,669203.135,434408611209.8461,300034.8149038461,72858.20012019231,656933.7884615385
53,0.001,443871511838.72,304108.85875,58366.93875,665087.40375,429905181459.6923,300456.36298076925,74213.69711538461,653764.8798076923
54,0.001,441227980308.48,305201.945,52812.045,663425.3075,425912316219.0769,300887.1586538461,75517.03004807692,650941.6875
55,0.001,437278735073.28,305569.30125,53460.844375,660593.47875,422692068745.8461,301339.57451923075,76659.27163461539,648659.7692307692
56,0.001,435347848560.64,306474.381875,54652.93703125,659133.86625,419884161181.53845,301763.07932692306,77693.78245192308,646658.5096153846
57,0.001,427027211878.4,304619.086875,59594.8546875,652856.6675,417183044529.2308,302103.8125,78664.10697115384,644713.2836538461
58,0.001,427383942021.12,306171.2225,55780.305,653300.6825,414715039428.9231,302411.38701923075,79601.88341346153,642927.7956730769
59,0.001,422614712975.36,305464.64125,58753.07375,649598.54,412587019972.9231,302697.1850961539,80443.75600961539,641381.4807692308
60,0.001,421067649187.84,305971.465625,56750.1346875,648484.7175,410834178993.2308,302993.9975961539,81204.21875,640108.1634615385
61,0.001,421085722705.92,306935.71625,58767.8378125,648506.2275,409442592610.46155,303301.57091346156,81888.01201923077,639101.2115384615
62,0.001,416617157099.52,305994.1075,59919.9734375,645061.9825,408162624118.1539,303565.4747596154,82510.05649038461,638169.125
63,0.001,416534125608.96,306714.111875,69343.905,644934.315,407023706742.1539,303814.19951923075,83080.359375,637336.75
64,0.001,417065553100.8,307657.7525,58660.96375,645557.53,405969781996.3077,304021.93028846156,83633.35817307692,636564.6057692308
65,0.001,415228168765.44,307495.544375,67371.348125,644063.3475,405316932529.2308,304267.4471153846,84061.00600961539,636094.4423076923
66,0.001,412549680988.16,306953.99875,68244.31125,641966.9825,404581323697.2308,304453.7632211539,84478.71995192308,635554.9423076923
67,0.001,409499252817.92,306164.77,65503.6103125,639649.355,403705334232.61536,304565.51201923075,84897.37620192308,634901.5096153846
68,0.001,408406801776.64,306129.1475,60233.0790625,638844.8125,402994490446.7692,304681.60576923075,85274.11538461539,634373.0576923077
69,0.001,409007213772.8,306782.31125,59378.6925,639405.1025,402296950468.9231,304760.97596153844,85592.21514423077,633848.8125
70,0.001,407298038824.96,306413.735,63698.8834375,637942.1475,401754365321.8461,304853.25,85864.77524038461,633442.5096153846
71,0.001,404546339471.36,305590.3525,65505.3509375,635794.26,401168899465.8461,304908.1850961539,86143.97596153847,633000.8557692308
72,0.001,408068064542.72,307309.51,66134.384375,638557.3775,400639121565.53845,304953.5336538461,86386.15264423077,632599.75
73,0.001,410225889771.52,308438.7125,61155.24125,640352.1225,400398599404.3077,305066.09375,86583.37139423077,632424.4567307692
74,0.001,407990729441.28,307718.1825,60338.1678125,638615.8425,400232715185.2308,305170.35096153844,86706.57451923077,632303.5961538461
75,0.001,404020377681.92,306261.1225,64342.3559375,635419.0575,399994567443.6923,305242.16346153844,86857.33413461539,632126.3317307692
76,0.001,404209379573.76,306517.47,61001.2621875,635645.635,399676039798.1539,305282.88942307694,87032.13822115384,631885.7644230769
77,0.001,408867342909.44,308592.44875,64545.514375,639232.7225,399599806306.46155,305375.0336538461,87117.80649038461,631832.3605769231
78,0.001,406684022865.92,307813.71375,73831.3828125,637482.0075,399624130244.9231,305485.7764423077,87211.10096153847,631858.8461538461
79,0.001,406871335239.68,307993.275,62893.195,637710.19,399513878528.0,305560.79807692306,87359.734375,631781.4038461539
80,0.001,405631736217.6,307627.675,65965.133125,636746.685,399474067928.61536,305645.04326923075,87468.65384615384,631757.3557692308
81,0.001,408660979220.48,308958.1425,71109.0721875,639095.47,399585776561.2308,305750.13942307694,87517.77644230769,631850.3269230769
82,0.001,402894422016.0,306665.765,61980.3515625,634620.575,399524744900.9231,305808.0,87613.18509615384,631808.2259615385
83,0.001,402481315840.0,306575.2225,64020.1853125,634247.7175,399315511138.46155,305812.5336538461,87711.15144230769,631648.1201923077
84,0.001,401736657797.12,306355.4775,71949.1240625,633621.4,398965324563.6923,305767.77403846156,87840.60216346153,631377.7932692308
85,0.001,405505158676.48,307977.105,71737.1659375,636653.395,398746719153.2308,305761.8533653846,87946.86057692308,631210.1490384615
86,0.001,401373922590.72,306355.48,62073.9946875,633445.9575,398656682771.6923,305780.90625,88006.59855769231,631142.6009615385
87,0.001,405613594542.08,308132.9225,63119.5575,636716.605,398688528226.46155,305864.98557692306,88058.38221153847,631171.1442307692
88,0.001,406051609640.96,308395.05625,61535.53125,637134.3475,398717359025.2308,305888.1201923077,88074.75360576923,631195.6826923077
89,0.001,405795017850.88,308308.44,67478.9278125,636863.8925,398956308322.46155,305993.7764423077,88070.03725961539,631386.1057692308
90,0.001,406230821765.12,308512.795,69751.4109375,637148.215,399184222365.53845,306097.1153846154,88092.953125,631569.0576923077
91,0.001,401113064407.04,306492.5675,67158.6384375,633173.3475,399217408787.6923,306151.63221153844,88179.49038461539,631600.3076923077
92,0.001,403006931599.36,307280.935,64495.7065625,634714.9725,399123016782.7692,306165.0408653846,88275.34615384616,631530.2307692308
93,0.001,401062572851.2,306534.08,68075.04875,633150.1425,399069511680.0,306183.08173076925,88352.06009615384,631491.9807692308
94,0.001,403436883148.8,307534.49375,67386.0609375,635042.065,398918509174.1539,306162.07932692306,88399.20192307692,631374.4326923077
95,0.001,403992874844.16,307791.62375,61594.3834375,635506.6975,398923157188.9231,306192.41346153844,88439.859375,631380.3221153846
96,0.001,401678469693.44,306886.08,67972.01125,633618.855,399009720162.46155,306236.5841346154,88442.61538461539,631449.6057692308
97,0.001,402333779886.08,307165.5425,62800.8740625,634214.3575,398948756558.7692,306241.35096153844,88493.8125,631403.8701923077
98,0.001,406770898698.24,309019.6775,67629.23,637635.8875,399169517095.38464,306321.84375,88458.67427884616,631577.8461538461
99,0.001,402770838159.36,307363.7825,67389.1496875,634516.0125,399284888182.1539,306374.33173076925,88464.74038461539,631669.9903846154
100,0.001,401421993246.72,306842.135,61954.883125,633486.05,399183546840.61536,306363.51442307694,88515.14783653847,631592.1682692308
101,0.001,403307634360.32,307642.94,65744.884375,634923.97,399162615650.46155,306368.00721153844,88527.140625,631576.2980769231
102,0.001,401410886205.44,306900.98375,68187.210625,633426.1,399045636411.0769,306349.1538461539,88566.10096153847,631485.2644230769
103,0.001,403865209405.44,307923.5675,61699.123125,635426.935,399012976797.53845,306351.1298076923,88592.64663461539,631460.7259615385
104,0.001,401374402314.24,306897.6,66889.525,633444.03,399096888083.6923,306388.04807692306,88595.17307692308,631527.6923076923
105,0.001,403332684840.96,307701.0025,62134.07375,635003.765,399118388932.9231,306414.8533653846,88613.69951923077,631545.7980769231
106,0.001,404200146862.08,308058.8775,62357.809375,635694.8925,399233817993.8461,306463.42548076925,88622.63221153847,631638.0432692308
107,0.001,402782735564.8,307500.50625,64543.2465625,634549.6075,399315135566.7692,306486.8701923077,88601.30528846153,631701.8413461539
108,0.001,402042692567.04,307219.2575,64932.155625,633955.3075,399163480221.53845,306437.8774038461,88591.3125,631581.0336538461
109,0.001,401512641331.2,306986.9875,68667.086875,633532.3375,399030056487.38464,306404.26442307694,88613.99519230769,631476.4326923077
110,0.001,401853823057.92,307190.6075,61948.7990625,633821.36,398948418796.3077,306388.7548076923,88640.50961538461,631412.9807692308
111,0.001,404092933898.24,308050.8125,62666.055625,635588.7425,399039554166.1539,306422.5288461539,88635.81610576923,631485.2836538461
112,0.001,403131266498.56,307708.6975,63091.35875,634810.675,399102645169.2308,306454.1274038461,88637.63100961539,631535.5480769231
113,0.001,400874982604.8,306798.88,62178.38625,633072.4325,399142065073.2308,306476.1201923077,88657.57091346153,631567.8125
114,0.001,404791212113.92,308374.70375,66880.6146875,636121.0275,399322538614.1539,306540.91346153844,88649.60336538461,631710.8173076923
115,0.001,404182487531.52,308127.26625,61578.34125,635679.955,399374657378.46155,306558.5721153846,88647.15264423077,631752.1971153846
116,0.001,401244347432.96,306910.6575,64409.5365625,633337.3575,399395838109.53845,306570.29807692306,88651.01802884616,631769.3317307692
117,0.001,405088031211.52,308509.4075,64150.6709375,636360.695,399536007010.46155,306620.5336538461,88651.82692307692,631880.625
118,0.001,402726909378.56,307545.10625,65291.24375,634486.9225,399683596603.0769,306676.91346153844,88667.34735576923,631998.5625
119,0.001,403219504168.96,307742.965,64666.26625,634896.42,399728851731.6923,306702.875,88695.87379807692,632035.8413461539
120,0.001,403992564203.52,308082.9825,69555.5175,635464.845,399872315076.9231,306753.82692307694,88699.26322115384,632149.8125
121,0.001,400859128135.68,306798.555,62622.07875,633040.345,399781754407.38464,306738.3173076923,88737.05769230769,632079.6923076923
122,0.001,403612885319.68,307946.75875,67222.0653125,635202.3625,399872486478.7692,306789.11057692306,88773.85576923077,632153.3365384615
123,0.001,404402477465.6,308296.68375,61588.9203125,635849.63,400003671906.46155,306846.70192307694,88785.10096153847,632257.8894230769
124,0.001,402210873671.68,307402.44,62937.4828125,634111.02,400154394624.0,306886.1923076923,88789.85216346153,632377.6105769231
125,0.001,401920035389.44,307279.6125,67260.036875,633858.725,400265541159.38464,306926.8846153846,88806.36538461539,632466.4903846154
126,0.001,401173695692.8,306970.42375,62176.2046875,633311.71,400272684583.38464,306942.3125,88848.58774038461,632474.1057692308
127,0.001,403549483171.84,307946.1775,61549.8828125,635163.3725,400373960388.9231,306982.31971153844,88866.70192307692,632555.1634615385
128,0.001,403456823132.16,307916.69125,61949.3384375,635105.2625,400499292947.6923,307024.95673076925,88860.65745192308,632654.1971153846
129,0.001,402233593692.16,307386.2775,64393.629375,634122.9375,400585256014.7692,307057.3846153846,88862.58293269231,632722.3701923077
130,0.001,402405575884.8,307511.50625,65025.681875,634252.3175,400714525774.7692,307108.5336538461,88885.38221153847,632825.7307692308
131,0.001,401716133232.64,307240.865,62007.1525,633741.8425,400689901883.0769,307106.7788461539,88903.203125,632807.0913461539
132,0.001,402817957232.64,307691.4775,65806.570625,634569.505,400728779854.7692,307134.81971153844,88904.63581730769,632837.9519230769
133,0.001,401437533143.04,307101.66,65108.455625,633487.535,400675615035.0769,307117.3798076923,88924.19711538461,632796.9182692308
134,0.001,401820577955.84,307279.4475,78078.99875,633785.9075,400616446109.53845,307099.4471153846,88937.41586538461,632750.7259615385
135,0.001,400775036272.64,306858.3325,73721.0409375,632974.8975,400475130328.61536,307060.4423076923,88958.18269230769,632639.8509615385
136,0.001,402254059274.24,307468.82875,66358.99,634143.06,400377690899.6923,307030.82692307694,88963.09615384616,632563.0192307692
137,0.001,402166002483.2,307443.2875,61413.5690625,634093.87,400435380224.0,307056.3461538461,88972.36899038461,632609.1105769231
138,0.001,401012977827.84,306963.2325,65325.7021875,633148.36,400429466860.3077,307055.41826923075,88971.08774038461,632604.3942307692
139,0.001,402169863864.32,307464.575,65859.6078125,634064.9875,400385464477.53845,307042.39423076925,88980.05408653847,632570.0144230769
140,0.001,401382590382.08,307141.47,66286.853125,633462.0775,400321589563.0769,307024.10576923075,88983.26201923077,632519.6009615385
141,0.001,404946094653.44,308593.12125,62254.6975,636287.445,400413113107.6923,307054.32692307694,88976.79927884616,632591.9230769231
142,0.001,403681733509.12,308063.36375,64153.6946875,635258.3975,400677389548.3077,307136.5096153846,88948.72115384616,632799.8076923077
143,0.001,401555011665.92,307227.71,68862.04625,633572.815,400755079955.6923,307164.91826923075,88946.19110576923,632861.2307692308
144,0.001,402992499261.44,307812.025,61783.1946875,634732.095,400813260800.0,307194.6346153846,88965.14783653847,632908.0673076923
145,0.001,401466819870.72,307185.1175,66175.35625,633523.5725,400865084652.3077,307220.48076923075,88986.23798076923,632950.0336538461
146,0.001,401916784803.84,307352.69125,72866.6346875,633891.2375,400930716435.6923,307248.3149038461,89006.10456730769,633002.7692307692
147,0.001,401416870952.96,307163.2725,71021.565,633477.5925,400981592536.61536,307264.51682692306,89007.98076923077,633043.0673076923
148,0.001,401332433059.84,307143.24875,72933.2696875,633400.72,401014864659.6923,307280.7524038461,89033.91706730769,633070.5096153846
149,0.001,400373385789.44,306745.2475,65661.9340625,632652.675,400820391620.9231,307221.75,89050.96153846153,632917.5096153846
150,0.001,401944267980.8,307409.5175,61450.0771875,633921.65,400664017683.6923,307176.57692307694,89059.46875,632794.1826923077
151,0.001,402433757675.52,307625.10125,72989.8996875,634259.6675,400726292007.38464,307195.17307692306,89043.61538461539,632842.8509615385
152,0.001,403497243115.52,308074.345,68220.7340625,635103.6375,400758197956.9231,307201.33653846156,89028.49519230769,632867.5576923077
153,0.001,403005135912.96,307847.025,66221.47375,634719.25,400765396834.46155,307204.5913461539,89014.93629807692,632872.7211538461
154,0.001,402651596718.08,307696.1675,62060.055625,634477.6625,400797194397.53845,307217.32932692306,89020.91947115384,632898.1394230769
155,0.001,400704493322.24,306897.415,75425.8940625,632901.205,400716207025.2308,307193.70432692306,89009.04447115384,632833.6586538461
156,0.001,399502095155.2,306426.7075,68035.9875,631961.32,400484973331.6923,307120.07932692306,89023.15745192308,632651.3557692308
157,0.001,400652000296.96,306869.735,67544.758125,632869.55,400220291072.0,307035.67307692306,89040.60456730769,632442.7596153846
158,0.001,401608160051.2,307310.715,65137.3734375,633637.85,400162079980.3077,307032.69951923075,89053.12019230769,632397.1586538461
159,0.001,403314768609.28,307997.07125,64040.9603125,634979.15,400098661297.2308,307001.7475961539,89039.32572115384,632346.3653846154
160,0.001,401944667750.4,307420.42125,64842.81,633903.31,400115209137.2308,306999.73076923075,89001.76802884616,632357.8173076923
161,0.001,401327804907.52,307155.80625,75155.978125,633390.045,400120313383.38464,306995.86298076925,88981.42307692308,632360.8894230769
162,0.001,402777365544.96,307775.6,63046.1265625,634560.0225,400023814144.0,306969.8966346154,88997.87860576923,632285.2596153846
163,0.001,401423718154.24,307234.415,61762.3053125,633491.5825,400055836041.8461,306980.1153846154,88988.99879807692,632310.2548076923
